rank,paper_id,title,applicability,in_scope_groups,clean_accuracy_source_target_separate,f1_reason,transfer_denominator_clean_correct,f2_reason,conditions_on_source_attack_success,f3_reason,reports_absolute_counts,f4_reason,numeric_linf_or_l2_budget,f5_reason,artifacts_sufficient_to_recompute,f6_reason,f2_any_explicit_yes,f2_any_explicit_no,f3_any_explicit_yes,f3_any_explicit_no,artifact_review,bounds_review,review_file_sha256
1,4637f79ddfaf923ce569996ffa5b6cda1996faa1,Jailbreaking Black Box Large Language Models in Twenty Queries,other_attack_outcome_llm_jailbreak_transfer,3,unclear,no_clean_baseline_event_defined_for_outcome,unclear,unresolved_scope,unclear,unresolved_scope,unclear,partial_unique_reconstruction_gcg_denominator_unverified,no,explicit_unconstrained_discrete_prompt_objective,unclear,released_outputs_do_not_match_published_run_hosted_targets_unverified,False,False,True,False,reviewed_released_outputs_do_not_match_published_run,classification_equation_not_applicable_jailbreak_outcome,644ebf8c0eb55bb23169461cbc78b6e0a97ffdd95cb5d4665cb2b5305438b9cd
2,f78a911f516625d6b7b76a9a33c1eb14613341c4,Improving Transferability of Adversarial Examples With Input Diversity,cross_model_classification_attack,4,unclear,complete_separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,exact_counts_not_established_for_all_results,unclear,cw_radius_not_established,unclear,transfer_evaluation_sufficiency_unestablished,True,False,False,False,reviewed_sufficiency_unclear,reviewed_no_new_numeric_extraction,37a9ec35e47b95637dff45b54a0e26c82d2871751c39554b035279a8309cd1ba
3,44d43bfbd23d55b1e7c4c4fd91fe101c0eaf1a06,Evading Defenses to Transferable Adversarial Examples by Translation-Invariant Attacks,cross_model_classification_attack,5,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_and_aggregation_not_fully_established,yes,numeric_norm_budgets_cover_all_scopes,unclear,target_evaluation_sufficiency_unestablished,False,False,False,False,reviewed_sufficiency_unclear,reviewed_aligned_clean_accuracy_unestablished,622e5163481a8591267967bc5bc4dc8ae864180764247f83426b73d4ddfc7cbd
4,fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,cross_model_classification_attack,5,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,denominator_and_aggregation_not_fully_established,unclear,classic_baseline_budget_scope_unresolved,unclear,original_data_checkpoint_sufficiency_unverified,False,False,False,False,reviewed_sufficiency_unclear,reviewed_aligned_clean_accuracy_unestablished,bdb585250a102d4213761014bf07e6b7fcc02d4b5b36f21bc44118647f25d574
5,7301d58eb8a750e44b7da5ab0266b134d1651237,Enhancing the Transferability of Adversarial Attacks through Variance Tuning,cross_model_classification_attack,7,unclear,separate_clean_values_not_located,unclear,unresolved_scope,unclear,unresolved_scope,unclear,counts_and_aggregation_not_fully_established,yes,numeric_norm_budget_covers_reviewed_scopes,unclear,checkpoint_data_and_execution_sufficiency_unverified,False,False,False,False,reviewed_sufficiency_unclear,reviewed_aligned_clean_accuracy_unestablished,abb6630dbaf88b8f154dc7e5113f1d24c56a400fe30670e5e580e3700a92d807
6,4582e2350e4822834dcf266522690722dd4430d4,PRADA: Protecting Against DNN Model Stealing Attacks,cross_model_classification_attack,15,unclear,separate_aligned_clean_values_not_established,unclear,unresolved_scope,no,all_scopes_explicit_no,unclear,averaged_rates_do_not_establish_all_exact_counts,yes,numeric_norm_budget_covers_transfer_evaluations,unclear,defense_release_not_verified_transfer_recomputation,False,False,False,True,reviewed_sufficiency_unclear,reviewed_clean_and_attacked_populations_differ,d9d86f77e0bfddef028c4b2180b20bfca3f2de1060991463540ae8709aa0db35
7,676e40050453ddeb1387f8314478c0ac3681a8c6,Improving Adversarial Robustness via Promoting Ensemble Diversity,cross_model_classification_attack,8,yes,all_transfer_members_have_separate_clean_errors,unclear,unresolved_scope,unclear,unresolved_scope,unclear,exact_transfer_denominators_and_counts_unestablished,unclear,radius_explicit_norm_not_explicitly_identified_for_transfer,unclear,checkpoint_access_verified_transfer_evaluator_correspondence_unestablished,False,False,False,False,reviewed_sufficiency_unclear_checkpoint_download_verified,reviewed_population_alignment_unresolved,afab1227507439db4cb3a2c9ae53db9014a96db0bf743644ee45998b1f405d8d
8,17293cd36ee5e7ec37dcec1d5ab85f9b77ad65d5,Do Adversarially Robust ImageNet Models Transfer Better?,no_original_cross_model_attack_evaluation_located,0,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,unclear,not_applicable_to_located_results,False,False,False,False,not_applicable_author_model_collection_accessible,not_applicable_no_original_cross_model_attack_evaluation,7cb9eb7151544f0313f94a6a4afd251e65c75682b356aee305a1efd069a017ca
9,8bac2716cd208cb8041650a001ab72ba81b559cd,Why Do Adversarial Attacks Transfer? Explaining Transferability of Evasion and Poisoning Attacks,cross_model_classification_evasion_and_training_data_poisoning,6,unclear,target_clean_references_present_source_coverage_unestablished,unclear,unresolved_scope,unclear,unresolved_scope,unclear,averaged_rounded_rates_do_not_establish_exact_counts,unclear,mixed_attack_geometries_and_incomplete_l2_linf_coverage,unclear,general_library_available_original_configuration_unverified,False,False,False,False,reviewed_general_library_original_configuration_unverified,reviewed_evasion_alignment_unresolved_poisoning_separate,cbfbe998b1061ce5b6b4f8d5ce7d19829ebb29b529d14fbdd94ee8c890275c59
10,821fd5bed14d6d06c25fbf44123fd7be382f7b4e,Is Robustness the Cost of Accuracy? - A Comprehensive Study on the Robustness of 18 Deep Image Classification Models,cross_model_classification_evasion,8,yes,separate_benchmark_clean_accuracy_all_models,unclear,unresolved_scope,no,all_scopes_explicit_no,unclear,rounded_rates_without_pair_counts,unclear,incomplete_numerical_radius_coverage,yes,original_code_checkpoints_and_data_executed_selected_configuration,False,False,False,True,sufficient_selected_configuration_original_runtime_executed,reviewed_published_population_alignment_unresolved,38f0e93c2be4ccf86e8b90364e615e1394c80f7b7450d577523b04ecb77433cb
